,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
58,0.17167129516601562,0.01795367415905625,0.1091224193572998,0.004202339916674985,gini,6,91,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 91}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.09474836933489644,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,0.16232070922851563,0.00992712160037753,0.11498637199401855,0.0020273719801879174,gini,6,101,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 101}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.09474836933489644,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,0.14735636711120606,0.0015840807610301773,0.10661406517028808,0.0018857690974334478,gini,7,11,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 11}",0.6428571428571429,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.8076923076923077,0.8208955223880597,0.10507544607505108,224,0.9905660377358491,0.9906542056074766,1.0,0.9907407407407407,0.9907407407407407,0.9925403449649612,0.003730389113221864
61,0.1398226261138916,0.004291367825877209,0.11303000450134278,0.0019689744933505614,gini,7,21,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 21}",0.6071428571428571,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.7692307692307693,0.8059701492537313,0.11927273654944852,239,1.0,0.9813084112149533,1.0,1.0,1.0,0.9962616822429906,0.007476635514018694
62,0.12646641731262206,0.009184870871846188,0.12464227676391601,0.01135312135910913,gini,7,31,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 31}",0.6428571428571429,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.8076923076923077,0.8208955223880597,0.10507544607505108,224,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,0.14925036430358887,0.01617389308163477,0.10669398307800293,0.0015662747082225256,gini,7,41,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 41}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.8283582089552238,0.10827552005865128,201,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64,0.16079607009887695,0.00348557150669161,0.11142735481262207,0.003203295394363205,gini,7,51,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 51}",0.6071428571428571,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.8461538461538461,0.8208955223880597,0.11855221058832933,224,1.0,1.0,1.0,1.0,1.0,1.0,0.0
65,0.14783997535705568,0.0066406786891597975,0.11472749710083008,0.0031634937395388658,gini,7,61,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 61}",0.6785714285714286,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.8076923076923077,0.8283582089552238,0.09270594884146864,201,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,0.14357347488403321,0.00298048226032542,0.11676502227783203,0.0027067001084900197,gini,7,71,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 71}",0.6428571428571429,0.9629629629629629,0.8518518518518519,0.8461538461538461,0.8076923076923077,0.8208955223880597,0.10507544607505108,224,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,0.1633436679840088,0.024048606939285257,0.11380496025085449,0.004439074209908038,gini,7,81,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 81}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.835820895522388,0.0957379153997932,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,0.1856752395629883,0.013425935700123471,0.10824308395385743,0.002952332837045179,gini,7,91,"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 91}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.835820895522388,0.0957379153997932,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
